,country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
1647,BR,Brasil,26,Pernambuco,PE,2615300,Timbaúba,52587,0.618,"[2020, 2019, 2018, 2017, 2016]","[7984, 7625, 7345, 7090, 5869]"
1648,BR,Brasil,26,Pernambuco,PE,2615409,Toritama,47088,0.618,"[2020, 2019, 2018, 2017, 2016]","[6881, 7099, 6733, 7458, 6987]"
1649,BR,Brasil,26,Pernambuco,PE,2615508,Tracunhaém,13856,0.605,"[2020, 2019, 2018, 2017, 2016]","[867, 811, 806, 793, 576]"
1650,BR,Brasil,26,Pernambuco,PE,2615607,Trindade,31103,0.595,"[2020, 2019, 2018, 2017, 2016]","[2728, 2692, 2666, 2720, 2881]"
1651,BR,Brasil,26,Pernambuco,PE,2615706,Triunfo,15232,0.67,"[2020, 2019, 2018, 2017, 2016]","[1377, 1833, 1922, 1876, 1258]"
1652,BR,Brasil,26,Pernambuco,PE,2615904,Tuparetama,8266,0.634,"[2020, 2019, 2018, 2017, 2016]","[704, 718, 716, 520, 696]"
1653,BR,Brasil,26,Pernambuco,PE,2616001,Venturosa,18835,0.5920000000000001,"[2020, 2019, 2018, 2017, 2016]","[1134, 1085, 1090, 1089, 1031]"
1654,BR,Brasil,26,Pernambuco,PE,2616100,Verdejante,9572,0.605,"[2020, 2019, 2018, 2017, 2016]","[740, 628, 622, 497, 440]"
1655,BR,Brasil,26,Pernambuco,PE,2616183,Vertente do Lério,7526,0.563,"[2020, 2019, 2018, 2017, 2016]","[743, 701, 664, 630, 657]"
1656,BR,Brasil,26,Pernambuco,PE,2616209,Vertentes,21172,0.5820000000000001,"[2020, 2019, 2018, 2017, 2016]","[1312, 1287, 1341, 1347, 1349]"
1657,BR,Brasil,26,Pernambuco,PE,2616308,Vicência,32897,0.605,"[2020, 2019, 2018, 2017, 2016]","[4389, 4102, 4462, 3185, 4300]"
1658,BR,Brasil,26,Pernambuco,PE,2616407,Vitória de Santo Antão,140389,0.64,"[2020, 2019, 2018, 2017, 2016]","[24636, 25787, 25750, 24172, 23366]"
1659,BR,Brasil,26,Pernambuco,PE,2616506,Xexéu,14789,0.552,"[2020, 2019, 2018, 2017, 2016]","[823, 854, 829, 875, 679]"
1660,BR,Brasil,27,Alagoas,AL,2700102,Água Branca,20263,0.5489999999999999,"[2020, 2019, 2018, 2017, 2016]","[1451, 1367, 1392, 1420, 1112]"
1661,BR,Brasil,27,Alagoas,AL,2700201,Anadia,17507,0.568,"[2020, 2019, 2018, 2017, 2016]","[1418, 1291, 1525, 1295, 1179]"
1662,BR,Brasil,27,Alagoas,AL,2700300,Arapiraca,234309,0.649,"[2020, 2019, 2018, 2017, 2016]","[40882, 40850, 41686, 40540, 40924]"
1663,BR,Brasil,27,Alagoas,AL,2700409,Atalaia,47540,0.561,"[2020, 2019, 2018, 2017, 2016]","[4269, 4514, 5187, 4985, 4976]"
