country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
BR,Brasil,12,Acre,AC,1200054,Assis Brasil,7649,0.588,"[2020, 2019, 2018, 2017, 2016]","[459, 454, 439, 545, 415]"
BR,Brasil,12,Acre,AC,1200104,Brasiléia,27123,0.614,"[2020, 2019, 2018, 2017, 2016]","[2545, 2398, 2396, 2485, 2373]"
BR,Brasil,12,Acre,AC,1200138,Bujari,10572,0.589,"[2020, 2019, 2018, 2017, 2016]","[1331, 1603, 1407, 1631, 1063]"
BR,Brasil,12,Acre,AC,1200179,Capixaba,12280,0.575,"[2020, 2019, 2018, 2017, 2016]","[569, 556, 538, 522, 558]"
BR,Brasil,12,Acre,AC,1200252,Epitaciolândia,18979,0.653,"[2020, 2019, 2018, 2017, 2016]","[1859, 1722, 1624, 1628, 1579]"
BR,Brasil,12,Acre,AC,1200302,Feijó,34986,0.539,"[2020, 2019, 2018, 2017, 2016]","[2063, 2092, 2043, 1901, 1550]"
BR,Brasil,12,Acre,AC,1200328,Jordão,8628,0.469,"[2020, 2019, 2018, 2017, 2016]","[616, 544, 502, 520, 533]"
BR,Brasil,12,Acre,AC,1200336,Mâncio Lima,19643,0.625,"[2020, 2019, 2018, 2017, 2016]","[932, 910, 924, 987, 783]"
BR,Brasil,12,Acre,AC,1200344,Manoel Urbano,9701,0.551,"[2020, 2019, 2018, 2017, 2016]","[508, 474, 597, 797, 909]"
BR,Brasil,12,Acre,AC,1200351,Marechal Thaumaturgo,19727,0.501,"[2020, 2019, 2018, 2017, 2016]","[979, 1231, 1191, 1285, 800]"
BR,Brasil,12,Acre,AC,1200385,Plácido de Castro,20147,0.622,"[2020, 2019, 2018, 2017, 2016]","[1803, 1442, 1395, 1144, 1125]"
BR,Brasil,12,Acre,AC,1200393,Porto Walter,12497,0.532,"[2020, 2019, 2018, 2017, 2016]","[751, 660, 636, 629, 653]"
BR,Brasil,12,Acre,AC,1200401,Rio Branco,419452,0.727,"[2020, 2019, 2018, 2017, 2016]","[102454, 105391, 103258, 104240, 100528]"
BR,Brasil,12,Acre,AC,1200427,Rodrigues Alves,19767,0.567,"[2020, 2019, 2018, 2017, 2016]","[729, 750, 859, 851, 671]"
BR,Brasil,12,Acre,AC,1200435,Santa Rosa do Purus,6893,0.517,"[2020, 2019, 2018, 2017, 2016]","[265, 267, 255, 273, 263]"
BR,Brasil,41,Paraná,PR,4126702,Tamboara,5196,0.731,"[2020, 2019, 2018, 2017, 2016]","[911, 914, 906, 909, 742]"
BR,Brasil,12,Acre,AC,1200450,Senador Guiomard,23446,0.64,"[2020, 2019, 2018, 2017, 2016]","[1927, 1864, 1668, 1857, 1845]"
BR,Brasil,12,Acre,AC,1200500,Sena Madureira,47168,0.603,"[2020, 2019, 2018, 2017, 2016]","[2366, 2561, 2172, 2446, 2056]"
BR,Brasil,12,Acre,AC,1200609,Tarauacá,43730,0.539,"[2020, 2019, 2018, 2017, 2016]","[2189, 2045, 2240, 2365, 1942]"
BR,Brasil,12,Acre,AC,1200708,Xapuri,19866,0.599,"[2020, 2019, 2018, 2017, 2016]","[1006, 921, 792, 784, 700]"
BR,Brasil,12,Acre,AC,1200807,Porto Acre,19141,0.576,"[2020, 2019, 2018, 2017, 2016]","[960, 961, 900, 791, 1163]"
BR,Brasil,13,Amazonas,AM,1300029,Alvarães,16396,0.527,"[2020, 2019, 2018, 2017, 2016]","[778, 807, 665, 1014, 543]"
BR,Brasil,13,Amazonas,AM,1300060,Amaturá,11934,0.56,"[2020, 2019, 2018, 2017, 2016]","[574, 601, 551, 461, 309]"
BR,Brasil,13,Amazonas,AM,1300086,Anamã,14292,0.594,"[2020, 2019, 2018, 2017, 2016]","[575, 545, 471, 483, 422]"
BR,Brasil,13,Amazonas,AM,1300102,Anori,21937,0.561,"[2020, 2019, 2018, 2017, 2016]","[845, 792, 752, 789, 672]"
BR,Brasil,13,Amazonas,AM,1300144,Apuí,22739,0.637,"[2020, 2019, 2018, 2017, 2016]","[1250, 1228, 1179, 1239, 1055]"
BR,Brasil,13,Amazonas,AM,1300201,Atalaia do Norte,20868,0.45,"[2020, 2019, 2018, 2017, 2016]","[1421, 1256, 1339, 1255, 179]"
